# 2026-03-06 09:37:33 CST
# Linux 6.17.0-14-generic x86_64
# go1.25.7
# CPU: Intel(R) Xeon(R) E-2186G CPU @ 3.80GHz

goos: linux
goarch: amd64
pkg: github.com/uniyakcom/yakutil
cpu: Intel(R) Xeon(R) E-2186G CPU @ 3.80GHz

BenchmarkMap_Put-12            	35305412	       203.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMap_Get-12            	100000000	        33.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMap_Get-12            	88820370	        34.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMap_Get-12            	100000000	        32.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkTree_ScanPrefix-12    	 3334491	      1082 ns/op	     440 B/op	      15 allocs/op
BenchmarkTree_ScanPrefix-12    	 2915410	      1843 ns/op	     440 B/op	      15 allocs/op
BenchmarkTree_ScanPrefix-12    	 3397022	      1087 ns/op	     440 B/op	      15 allocs/op
BenchmarkMap_PrefixScan-12     	 1419128	      2261 ns/op	       0 B/op	       0 allocs/op
BenchmarkMap_PrefixScan-12     	 2067121	      1523 ns/op	       0 B/op	       0 allocs/op
BenchmarkMap_PrefixScan-12     	 2524267	      1610 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_Phase1-12                 	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_Phase1-12                 	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_Phase1-12                 	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_Phase2-12                 	23908126	       134.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_Phase2-12                 	24039309	       140.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_Phase2-12                 	26470953	       141.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_FullCycle-12              	    6574	    496222 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_FullCycle-12              	    7207	    476526 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_FullCycle-12              	    6498	    486824 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_SpinOnly_vs_Gosched/Backoff.Spin-12         	1000000000	         3.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_SpinOnly_vs_Gosched/Backoff.Spin-12         	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_SpinOnly_vs_Gosched/Backoff.Spin-12         	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_SpinOnly_vs_Gosched/Gosched-12              	24142015	       128.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_SpinOnly_vs_Gosched/Gosched-12              	26733988	       138.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff_SpinOnly_vs_Gosched/Gosched-12              	25718456	       139.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_GetPut_Cycle-12       	83662146	        43.50 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_GetPut_Cycle-12       	73588999	        41.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_GetPut_Cycle-12       	77323562	        44.56 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_CrossSize-12          	22684286	       142.0 ns/op	      72 B/op	       3 allocs/op
BenchmarkPool_CrossSize-12          	23723307	       135.9 ns/op	      72 B/op	       3 allocs/op
BenchmarkPool_CrossSize-12          	23321817	       132.7 ns/op	      72 B/op	       3 allocs/op
BenchmarkPool_GetPut_Parallel-12    	299015080	        13.27 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_GetPut_Parallel-12    	247415007	        13.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_GetPut_Parallel-12    	330622947	        10.29 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_Get128-12             	96907069	        37.24 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_Get128-12             	96404228	        37.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_Get128-12             	97524868	        36.84 ns/op	      24 B/op	       1 allocs/op
BenchmarkPool_Get4K-12              	98208530	        36.65 ns/op	      24 B/op	       1 allocs/op
